"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,518867,2002
"Live animals",101,"Bovine",10102,"Animal Products",1,526840,2002
"Live animals",101,"Pigs",10103,"Animal Products",1,381069,2002
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,3878.9999999999995,2002
"Live animals",101,"Poultry",10105,"Animal Products",1,8445907,2002
"Live animals",101,"Other Animals",10106,"Animal Products",1,173065,2002
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,2052918.9999999998,2002
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,9007898,2002
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,256656,2002
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,331196,2002
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,785316,2002
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,2081615,2002
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,231970.99999999997,2002
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,12803,2002
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,1149226,2002
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,23598,2002
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,2859552,2002
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,12827748,2002
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,11139460,2002
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,4305104,2002
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,1527378,2002
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,6052103,2002
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,2265128,2002
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,115233741,2002
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,1270968,2002
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,3438809,2002
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,2097753,2002
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,27543707,2002
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,5913998,2002
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,1048871,2002
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,315852,2002
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,8587,2002
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,583937,2002
"Animal originated products, n.e.s.",105,"Horsehair Waste",10503,"Animal Products",1,7642,2002
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,318038,2002
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,8654,2002
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,1587,2002
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,2580,2002
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,13296,2002
"Animal originated products, n.e.s.",105,"Natural Sponges",10509,"Animal Products",1,24812,2002
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,44792,2002
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,400358,2002
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,167460,2002
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,454120,2002
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,10788444,2002
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,546254,2002
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,9690936,2002
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,106062,2002
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,1665248.0000000002,2002
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,26041,2002
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,86180,2002
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,11472,2002
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,13884,2002
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,199457,2002
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,242120,2002
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,3428538,2002
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,1641181,2002
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,1543882,2002
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,42675854,2002
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,2679680,2002
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,758920,2002
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,4869474,2002
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,580,2002
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,923406,2002
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,553705,2002
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,8331324,2002
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,20452926,2002
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,2935032,2002
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,429173,2002
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,940206,2002
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,206477,2002
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,1998826,2002
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,4578,2002
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,635550,2002
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,768654,2002
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,80862,2002
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,714387,2002
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,1723,2002
