"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Angola","afago","ago",67740,2022
"Africa","af","Benin","afben","ben",6234,2022
"Africa","af","Burkina Faso","afbfa","bfa",19389,2022
"Africa","af","Botswana","afbwa","bwa",38180,2022
"Africa","af","Cote d'Ivoire","afciv","civ",115844,2022
"Africa","af","Democratic Republic of the Congo","afcod","cod",30357,2022
"Africa","af","Egypt","afegy","egy",19019123,2022
"Africa","af","Kenya","afken","ken",5394,2022
"Africa","af","Morocco","afmar","mar",1833172.9999999998,2022
"Africa","af","Mozambique","afmoz","moz",17103,2022
"Africa","af","Mauritius","afmus","mus",18742,2022
"Africa","af","Malawi","afmwi","mwi",2377,2022
"Africa","af","Namibia","afnam","nam",1370,2022
"Africa","af","Niger","afner","ner",288.00000000000006,2022
"Africa","af","Nigeria","afnga","nga",739936,2022
"Africa","af","Rwanda","afrwa","rwa",6166,2022
"Africa","af","Senegal","afsen","sen",298899.99999999994,2022
"Africa","af","Tunisia","aftun","tun",5953198.999999999,2022
"Africa","af","Tanzania","aftza","tza",35312,2022
"Africa","af","South Africa","afzaf","zaf",232325,2022
"Africa","af","Zambia","afzmb","zmb",15714,2022
"Asia","as","United Arab Emirates","asare","are",15674990,2022
"Asia","as","Armenia","asarm","arm",4245,2022
"Asia","as","Azerbaijan","asaze","aze",104.00000000000001,2022
"Asia","as","Bahrain","asbhr","bhr",94554,2022
"Asia","as","Brunei","asbrn","brn",198217,2022
"Asia","as","China","aschn","chn",706211880,2022
"Asia","as","Cyprus","ascyp","cyp",173699,2022
"Asia","as","Hong Kong","ashkg","hkg",23611117,2022
"Asia","as","Indonesia","asidn","idn",10017953,2022
"Asia","as","India","asind","ind",227870614,2022
"Asia","as","Israel","asisr","isr",2522545,2022
"Asia","as","Jordan","asjor","jor",186565,2022
"Asia","as","Japan","asjpn","jpn",24505563.999999996,2022
"Asia","as","Kazakhstan","askaz","kaz",4381,2022
"Asia","as","Kyrgyzstan","askgz","kgz",5308,2022
"Asia","as","Cambodia","askhm","khm",2734400.0000000005,2022
"Asia","as","South Korea","askor","kor",12483695,2022
"Asia","as","Kuwait","askwt","kwt",3366519,2022
"Asia","as","Lebanon","aslbn","lbn",150028237,2022
"Asia","as","Sri Lanka","aslka","lka",83487,2022
"Asia","as","Macau","asmac","mac",1906929.9999999998,2022
"Asia","as","Maldives","asmdv","mdv",360315,2022
"Asia","as","Burma","asmmr","mmr",52537,2022
"Asia","as","Mongolia","asmng","mng",2076,2022
"Asia","as","Malaysia","asmys","mys",24350273,2022
"Asia","as","Nepal","asnpl","npl",184646,2022
"Asia","as","Oman","asomn","omn",454957,2022
"Asia","as","Philippines","asphl","phl",754073,2022
"Asia","as","Palestine","aspse","pse",115560,2022
"Asia","as","Qatar","asqat","qat",649957,2022
"Asia","as","Singapore","assgp","sgp",2560661,2022
"Asia","as","Thailand","astha","tha",27324835,2022
"Asia","as","Timor-Leste","astls","tls",231.99999999999997,2022
"Asia","as","Turkey","astur","tur",598128943,2022
"Asia","as","Chinese Taipei","astwn","twn",16521807.000000002,2022
"Asia","as","Uzbekistan","asuzb","uzb",243.00000000000003,2022
"Asia","as","Vietnam","asvnm","vnm",2572474,2022
"Europe","eu","Andorra","euand","and",53216.00000000001,2022
"Europe","eu","Austria","euaut","aut",5513096,2022
"Europe","eu","Belgium","eubel","bel",15878157,2022
"Europe","eu","Bulgaria","eubgr","bgr",38184,2022
"Europe","eu","Bosnia and Herzegovina","eubih","bih",10120882,2022
"Europe","eu","Switzerland","euche","che",2194350,2022
"Europe","eu","Czechia","eucze","cze",44767820,2022
"Europe","eu","Germany","eudeu","deu",36907656,2022
